"Time(-03)","Access point","SSID","Client","Event type","Details"
"Aug 18 17:03:27","PRRJBAP05","PetroRio - Corp","PRRJBNB0349","802.1X deauthentication","""radio: 0, vap: 0, client_mac: C0:B5:D7:1C:02:95"""
"Aug 18 17:03:27","PRRJBAP05","PetroRio - Corp","PRRJBNB0349","802.11 association","""channel: 1, rssi: 53"""
"Aug 18 17:02:50","PRRJBAP11","PetroRio - Corp","PRRJBNB0349","802.1X authentication","""radio: 0, vap: 0, client_mac: C0:B5:D7:1C:02:95"""
"Aug 18 17:02:50","PRRJBAP11","PetroRio - Corp","PRRJBNB0349","802.1X EAP success","""radio: 0, vap: 0, client_mac: C0:B5:D7:1C:02:95"""
"Aug 18 17:02:50","PRRJBAP11","PetroRio - Corp","PRRJBNB0349","RADIUS response","""radio: 0, vap: 0, group: """
"Aug 18 17:02:50","PRRJBAP11","PetroRio - Corp","PRRJBNB0349","802.1X deauthentication","""radio: 0, vap: 0, client_mac: C0:B5:D7:1C:02:95"""
"Aug 18 17:02:50","PRRJBAP11","PetroRio - Corp","PRRJBNB0349","802.11 association","""channel: 1, rssi: 39"""
"Aug 18 17:01:39","PRRJBAP06","PetroRio - Corp","PRRJBNB0349","802.1X authentication","""radio: 0, vap: 0, client_mac: C0:B5:D7:1C:02:95"""
"Aug 18 17:01:39","PRRJBAP06","PetroRio - Corp","PRRJBNB0349","802.1X EAP success","""radio: 0, vap: 0, client_mac: C0:B5:D7:1C:02:95"""
"Aug 18 17:01:39","PRRJBAP06","PetroRio - Corp","PRRJBNB0349","RADIUS response","""radio: 0, vap: 0, group: """
"Aug 18 17:01:39","PRRJBAP06","PetroRio - Corp","PRRJBNB0349","802.1X deauthentication","""radio: 0, vap: 0, client_mac: C0:B5:D7:1C:02:95"""
"Aug 18 17:01:39","PRRJBAP06","PetroRio - Corp","PRRJBNB0349","802.11 association","""channel: 6, rssi: 52"""
"Aug 18 17:00:33","PRRJBAP01","PetroRio - Corp","PRRJBNB0349","802.1X authentication","""radio: 1, vap: 0, client_mac: C0:B5:D7:1C:02:95"""
"Aug 18 17:00:33","PRRJBAP01","PetroRio - Corp","PRRJBNB0349","802.1X EAP success","""radio: 1, vap: 0, client_mac: C0:B5:D7:1C:02:95"""
"Aug 18 17:00:33","PRRJBAP01","PetroRio - Corp","PRRJBNB0349","RADIUS response","""radio: 1, vap: 0, group: """
"Aug 18 17:00:32","PRRJBAP01","PetroRio - Corp","PRRJBNB0349","802.1X deauthentication","""radio: 1, vap: 0, client_mac: C0:B5:D7:1C:02:95"""
"Aug 18 17:00:32","PRRJBAP01","PetroRio - Corp","PRRJBNB0349","802.11 association","""channel: 36, rssi: 51"""
"Aug 18 14:58:47","PRRJBAP05","PetroRio - Corp","PRRJBNB0349","802.11 disassociation","""unknown reason"""
"Aug 18 14:58:13","PRRJBAP01","PetroRio - Corp","PRRJBNB0349","802.11 disassociation","""unknown reason"""
"Aug 18 14:58:11","PRRJBAP03","PetroRio - Corp","PRRJBNB0349","802.11 disassociation","""unknown reason"""
"Aug 18 14:53:40","PRRJBAP08","PetroRio - Corp","PRRJBNB0349","802.1X authentication","""radio: 0, vap: 0, client_mac: C0:B5:D7:1C:02:95"""
"Aug 18 14:53:40","PRRJBAP08","PetroRio - Corp","PRRJBNB0349","802.1X EAP success","""radio: 0, vap: 0, client_mac: C0:B5:D7:1C:02:95"""
"Aug 18 14:53:40","PRRJBAP08","PetroRio - Corp","PRRJBNB0349","RADIUS response","""radio: 0, vap: 0, group: """
"Aug 18 14:53:39","PRRJBAP08","PetroRio - Corp","PRRJBNB0349","802.1X deauthentication","""radio: 0, vap: 0, client_mac: C0:B5:D7:1C:02:95"""
"Aug 18 14:53:39","PRRJBAP08","PetroRio - Corp","PRRJBNB0349","802.11 association","""channel: 11, rssi: 53"""
"Aug 18 14:53:19","PRRJBAP05","PetroRio - Corp","PRRJBNB0349","802.1X authentication","""radio: 0, vap: 0, client_mac: C0:B5:D7:1C:02:95"""
"Aug 18 14:53:19","PRRJBAP05","PetroRio - Corp","PRRJBNB0349","802.1X EAP success","""radio: 0, vap: 0, client_mac: C0:B5:D7:1C:02:95"""
"Aug 18 14:53:19","PRRJBAP05","PetroRio - Corp","PRRJBNB0349","RADIUS response","""radio: 0, vap: 0, group: """
"Aug 18 14:53:18","PRRJBAP05","PetroRio - Corp","PRRJBNB0349","802.1X deauthentication","""radio: 0, vap: 0, client_mac: C0:B5:D7:1C:02:95"""
"Aug 18 14:53:18","PRRJBAP05","PetroRio - Corp","PRRJBNB0349","802.11 association","""channel: 1, rssi: 48"""
