"Time(-03)","Access point","SSID","Client","Event type","Details"
"Aug 18 17:09:45","PRRJBAP19","PetroRio - Corp","PRRJBNB0349","802.11 disassociation","""unknown reason"""
"Aug 18 17:09:39","PRRJBAP05","PetroRio - Corp","PRRJBNB0349","802.11 disassociation","""unknown reason"""
"Aug 18 17:09:26","PRRJBAP01","PetroRio - Corp","PRRJBNB0349","802.11 disassociation","""unknown reason"""
"Aug 18 17:09:23","PRRJBAP08","PetroRio - Corp","PRRJBNB0349","802.11 disassociation","""unknown reason"""
"Aug 18 17:08:35","PRRJBAP11","PetroRio - Corp","PRRJBNB0349","802.11 disassociation","""unknown reason"""
"Aug 18 17:07:44","PRRJBAP06","PetroRio - Corp","PRRJBNB0349","802.11 disassociation","""unknown reason"""
"Aug 18 17:04:51","PRRJBAP28","PetroRio - Corp","PRRJBNB0349","802.1X authentication","""radio: 0, vap: 0, client_mac: C0:B5:D7:1C:02:95"""
"Aug 18 17:04:51","PRRJBAP28","PetroRio - Corp","PRRJBNB0349","802.1X EAP success","""radio: 0, vap: 0, client_mac: C0:B5:D7:1C:02:95"""
"Aug 18 17:04:51","PRRJBAP28","PetroRio - Corp","PRRJBNB0349","RADIUS response","""radio: 0, vap: 0, group: """
"Aug 18 17:04:51","PRRJBAP28","PetroRio - Corp","PRRJBNB0349","802.1X deauthentication","""radio: 0, vap: 0, client_mac: C0:B5:D7:1C:02:95"""
"Aug 18 17:04:51","PRRJBAP28","PetroRio - Corp","PRRJBNB0349","802.11 association","""channel: 11, rssi: 39"""
"Aug 18 17:04:32","PRRJBAP19","PetroRio - Corp","PRRJBNB0349","802.1X authentication","""radio: 0, vap: 0, client_mac: C0:B5:D7:1C:02:95"""
"Aug 18 17:04:32","PRRJBAP19","PetroRio - Corp","PRRJBNB0349","802.1X EAP success","""radio: 0, vap: 0, client_mac: C0:B5:D7:1C:02:95"""
"Aug 18 17:04:32","PRRJBAP19","PetroRio - Corp","PRRJBNB0349","RADIUS response","""radio: 0, vap: 0, group: """
"Aug 18 17:04:32","PRRJBAP19","PetroRio - Corp","PRRJBNB0349","802.1X deauthentication","""radio: 0, vap: 0, client_mac: C0:B5:D7:1C:02:95"""
"Aug 18 17:04:32","PRRJBAP19","PetroRio - Corp","PRRJBNB0349","802.11 association","""channel: 1, rssi: 55"""
"Aug 18 17:04:16","PRRJBAP01","PetroRio - Corp","PRRJBNB0349","802.1X authentication","""radio: 1, vap: 0, client_mac: C0:B5:D7:1C:02:95"""
"Aug 18 17:04:16","PRRJBAP01","PetroRio - Corp","PRRJBNB0349","802.1X EAP success","""radio: 1, vap: 0, client_mac: C0:B5:D7:1C:02:95"""
"Aug 18 17:04:16","PRRJBAP01","PetroRio - Corp","PRRJBNB0349","RADIUS response","""radio: 1, vap: 0, group: """
"Aug 18 17:04:15","PRRJBAP01","PetroRio - Corp","PRRJBNB0349","802.1X deauthentication","""radio: 1, vap: 0, client_mac: C0:B5:D7:1C:02:95"""
"Aug 18 17:04:15","PRRJBAP01","PetroRio - Corp","PRRJBNB0349","802.11 association","""channel: 36, rssi: 43"""
"Aug 18 17:04:15","PRRJBAP01","PetroRio - Corp","PRRJBNB0349","802.11 disassociation","""client has left AP"""
"Aug 18 17:03:51","PRRJBAP08","PetroRio - Corp","PRRJBNB0349","802.1X authentication","""radio: 0, vap: 0, client_mac: C0:B5:D7:1C:02:95"""
"Aug 18 17:03:51","PRRJBAP08","PetroRio - Corp","PRRJBNB0349","802.1X EAP success","""radio: 0, vap: 0, client_mac: C0:B5:D7:1C:02:95"""
"Aug 18 17:03:51","PRRJBAP08","PetroRio - Corp","PRRJBNB0349","RADIUS response","""radio: 0, vap: 0, group: """
"Aug 18 17:03:51","PRRJBAP08","PetroRio - Corp","PRRJBNB0349","802.1X deauthentication","""radio: 0, vap: 0, client_mac: C0:B5:D7:1C:02:95"""
"Aug 18 17:03:51","PRRJBAP08","PetroRio - Corp","PRRJBNB0349","802.11 association","""channel: 11, rssi: 48"""
"Aug 18 17:03:51","PRRJBAP08","PetroRio - Corp","PRRJBNB0349","802.11 disassociation","""client has left AP"""
"Aug 18 17:03:27","PRRJBAP05","PetroRio - Corp","PRRJBNB0349","802.1X authentication","""radio: 0, vap: 0, client_mac: C0:B5:D7:1C:02:95"""
"Aug 18 17:03:27","PRRJBAP05","PetroRio - Corp","PRRJBNB0349","802.1X EAP success","""radio: 0, vap: 0, client_mac: C0:B5:D7:1C:02:95"""
